iter	Passed	Remaining
1269	70975	208454
1270	71032	208401
1271	71090	208353
1272	71147	208301
1273	71204	208248
1274	71261	208196
1275	71318	208143
1276	71375	208090
1277	71430	208030
1278	71489	207984
1279	71547	207936
1280	71605	207885
1281	71663	207835
1282	71725	207797
1283	71784	207750
1284	71841	207696
1285	71899	207646
1286	71957	207597
1287	72021	207565
1288	72081	207520
1289	72138	207468
1290	72199	207425
1291	72260	207384
1292	72320	207341
1293	72377	207287
1294	72434	207236
1295	72491	207181
1296	72552	207141
1297	72613	207099
1298	72685	207090
1299	72745	207045
1300	72804	206997
1301	72861	206944
1302	72917	206888
1303	72977	206843
1304	73033	206789
1305	73115	206807
1306	73175	206762
1307	73235	206717
1308	73296	206675
1309	73358	206635
1310	73416	206586
1311	73479	206548
1312	73542	206512
1313	73605	206475
1314	73665	206431
1315	73724	206382
1316	73784	206340
1317	73846	206298
1318	73905	206252
1319	73964	206204
1320	74026	206164
1321	74087	206123
1322	74150	206085
1323	74211	206043
1324	74267	205988
1325	74329	205947
1326	74400	205932
1327	74467	205907
1328	74531	205873
1329	74598	205846
1330	74664	205818
1331	74730	205789
1332	74795	205757
1333	74867	205744
1334	74933	205717
1335	74998	205684
1336	75061	205647
1337	75121	205602
1338	75181	205556
1339	75249	205532
1340	75306	205477
1341	75363	205425
1342	75424	205381
1343	75489	205348
1344	75570	205361
1345	75633	205323
1346	75699	205294
1347	75767	205270
1348	75830	205231
1349	75891	205187
1350	75953	205147
1351	76015	205108
1352	76080	205073
1353	76137	205019
1354	76195	204967
1355	76259	204932
1356	76327	204909
1357	76387	204863
1358	76453	204832
1359	76512	204784
1360	76579	204755
1361	76641	204714
1362	76701	204669
1363	76772	204652
1364	76833	204607
1365	76893	204560
1366	76952	204512
1367	77018	204482
1368	77085	204454
1369	77153	204428
1370	77219	204397
1371	77284	204365
1372	77349	204332
1373	77416	204302
1374	77490	204294
1375	77557	204265
1376	77638	204273
1377	77700	204230
1378	77759	204182
1379	77826	204153
1380	77893	204124
1381	77960	204095
1382	78025	204061
1383	78096	204043
1384	78160	204007
1385	78226	203977
1386	78291	203942
1387	78354	203903
1388	78431	203900
1389	78507	203893
1390	78582	203885
1391	78652	203862
1392	78719	203834
1393	78783	203797
1394	78853	203775
1395	78920	203746
1396	79006	203766
1397	79071	203729
1398	79136	203696
1399	79200	203658
1400	79262	203615
1401	79317	203556
1402	79382	203520
1403	79509	203644
1404	79630	203751
1405	79757	203874
1406	79885	204001
1407	80005	204105
1408	80144	204256
1409	80268	204372
1410	80384	204465
1411	80508	204578
1412	80632	204691
1413	80770	204839
1414	80898	204962
1415	81017	205061
1416	81143	205179
1417	81270	205296
1418	81395	205410
1419	81533	205557
1420	81683	205730
1421	81811	205852
1422	81944	205984
1423	82061	206074
1424	82175	206159
1425	82305	206282
1426	82430	206393
1427	82573	206550
1428	82702	206670
1429	82822	206765
1430	82945	206871
1431	83074	206989
1432	83197	207093
1433	83340	207246
1434	83480	207391
1435	83616	207526
1436	83741	207635
1437	83886	207790
1438	84025	207932
1439	84146	208029
1440	84274	208141
1441	84403	208257
1442	84531	208370
1443	84652	208466
1444	84790	208601
1445	84916	208708
1446	85049	208831
1447	85195	208987
1448	85327	209107
1449	85460	209231
1450	85596	209360
1451	85727	209476
1452	85870	209623
1453	86008	209755
1454	86135	209862
1455	86256	209953
1456	86378	210048
1457	86524	210197
1458	86654	210310
1459	86784	210423
1460	86932	210577
1461	87065	210696
1462	87187	210788
1463	87314	210891
1464	87415	210931
1465	87547	211046
1466	87681	211164
1467	87803	211254
1468	87921	211335
1469	88042	211422
1470	88162	211507
1471	88292	211614
1472	88410	211694
1473	88541	211802
1474	88668	211902
1475	88784	211975
1476	88928	212116
1477	89053	212210
1478	89179	212306
1479	89321	212440
1480	89453	212549
1481	89582	212652
1482	89715	212765
1483	89865	212914
1484	89993	213014
1485	90121	213113
1486	90255	213225
1487	90383	213324
1488	90516	213434
1489	90661	213572
1490	90810	213719
1491	90943	213826
1492	91083	213952
1493	91209	214042
1494	91335	214134
1495	91463	214231
1496	91594	214331
1497	91741	214471
1498	91876	214583
1499	92005	214679
1500	92149	214810
1501	92278	214908
1502	92430	215055
1503	92565	215164
1504	92710	215298
1505	92855	215429
1506	92989	215535
1507	93117	215627
1508	93255	215742
1509	93386	215841
1510	93520	215944
1511	93644	216027
1512	93772	216116
1513	93913	216235
1514	94040	216325
1515	94164	216405
1516	94298	216508
1517	94419	216579
1518	94540	216651
1519	94673	216753
1520	94814	216870
1521	94955	216986
1522	95072	217049
1523	95198	217131
1524	95321	217207
1525	95445	217284
1526	95577	217380
1527	95709	217476
1528	95852	217596
1529	95982	217686
1530	96098	217742
1531	96212	217797
1532	96335	217871
1533	96466	217961
1534	96593	218044
1535	96717	218118
1536	96867	218250
1537	96990	218323
1538	97119	218408
1539	97255	218509
1540	97390	218606
1541	97522	218698
1542	97654	218790
1543	97788	218884
1544	97934	219004
1545	98063	219089
1546	98198	219185
1547	98333	219280
1548	98474	219390
1549	98601	219467
1550	98805	219717
1551	98990	219921
1552	99138	220045
1553	99267	220125
1554	99390	220193
1555	99545	220330
1556	99677	220417
1557	99810	220504
1558	99938	220582
1559	100072	220672
1560	100207	220765
1561	100348	220870
1562	100484	220963
1563	100615	221044
1564	100742	221119
1565	100891	221240
1566	101018	221312
1567	101147	221388
1568	101278	221469
1569	101417	221568
1570	101543	221637
1571	101699	221772
1572	101836	221864
1573	101978	221967
1574	102105	222038
1575	102238	222122
1576	102367	222196
1577	102499	222277
1578	102627	222349
1579	102753	222416
1580	102890	222505
1581	103022	222586
1582	103146	222647
1583	103273	222716
1584	103408	222801
1585	103534	222866
1586	103656	222923
1587	103806	223040
1588	103939	223120
1589	104059	223170
1590	104183	223231
1591	104306	223288
1592	104444	223378
1593	104579	223462
1594	104711	223538
1595	104853	223634
1596	104982	223704
1597	105106	223762
1598	105252	223866
1599	105387	223949
1600	105519	224023
1601	105651	224096
1602	105780	224163
1603	105906	224226
1604	106028	224278
1605	106165	224363
1606	106315	224473
1607	106475	224604
1608	106610	224682
1609	106738	224747
1610	106864	224807
1611	106989	224863
1612	107133	224961
1613	107275	225051
1614	107413	225135
1615	107543	225203
1616	107670	225263
1617	107807	225342
1618	107938	225411
1619	108073	225487
1620	108211	225569
1621	108342	225636
1622	108502	225762
1623	108649	225861
1624	108791	225950
1625	108938	226050
1626	109060	226096
1627	109187	226155
1628	109297	226176
1629	109418	226221
1630	109533	226252
1631	109661	226310
1632	109779	226348
1633	109906	226404
1634	110021	226434
1635	110147	226488
1636	110282	226560
1637	110421	226640
1638	110609	226819
1639	110734	226871
1640	110862	226926
1641	110990	226983
1642	111107	227016
1643	111236	227074
1644	111368	227138
1645	111510	227222
1646	111650	227300
1647	111776	227350
1648	111907	227412
1649	112037	227469
1650	112173	227540
1651	112316	227623
1652	112450	227689
1653	112587	227762
1654	112729	227843
1655	112859	227899
1656	112988	227955
1657	113122	228019
1658	113248	228068
1659	113386	228139
1660	113528	228217
